Czas_Zapisu;Czas_Procesu;1_Temp_Keg;2_Temp_Bufor;3_Temp_10p;4_Temp_Glowica;5_Temp_Woda;Napiecie_V;Prad_A;Moc_W;Zuzycie_Wh;Komentarz
10:48:13;00:00:01;23,0;20,5;23,9;23,2;23,2;233,6;0,00;0,0;0,01;start
10:48:23;00:00:11;21,6;20,1;22,3;22,5;22,6;233,6;0,00;0,0;0,01;start
10:48:34;00:00:22;21,6;19,6;22,1;23,2;22,1;233,6;0,00;0,0;0,01;start
10:48:44;00:00:32;23,2;20,1;23,4;23,5;22,9;233,6;0,00;0,0;0,01;start
10:48:54;00:00:42;21,7;20,5;22,0;24,0;21,8;233,6;0,00;0,0;0,01;start
10:49:04;00:00:52;21,7;19,5;23,6;22,5;23,2;233,6;0,00;0,0;0,01;start
10:49:14;00:01:02;23,1;19,3;22,4;24,0;22,5;233,6;0,00;0,0;0,01;start
10:49:25;00:01:13;22,0;21,0;22,2;22,9;21,8;233,6;0,00;0,0;0,01;start
10:49:35;00:01:23;21,7;20,3;23,2;23,9;23,1;233,6;0,00;0,0;0,01;start
10:49:45;00:01:33;22,8;20,1;22,2;22,3;21,5;233,6;0,00;0,0;0,01;start
10:49:55;00:01:43;22,9;20,4;23,6;22,3;21,6;233,6;0,00;0,0;0,01;start
10:50:06;00:01:54;22,9;19,1;23,8;22,4;22,4;233,6;0,00;0,0;0,01;start
10:50:16;00:02:04;22,9;19,9;23,8;23,2;22,4;233,6;0,00;0,0;0,01;start
10:50:31;00:00:02;21,7;20,1;23,1;22,2;22,4;233,6;0,00;0,0;0,01;start
10:50:41;00:00:12;22,0;20,6;22,7;23,6;23,5;233,6;0,00;0,0;0,01;start
10:50:51;00:00:23;22,7;19,7;23,2;23,9;22,1;233,6;0,00;0,0;0,01;start
10:51:01;00:00:03;23,5;20,9;23,4;22,3;22,8;233,6;0,00;0,0;0,01;start
11:12:47;00:00:01;21,7;19,4;23,3;22,5;22,5;233,6;0,00;0,0;0,01;
11:12:57;00:00:03;22,4;19,2;23,8;23,5;23,2;233,6;0,00;0,0;0,01;
11:16:34;00:00:01;21,6;19,8;22,3;22,4;23,3;233,6;0,00;0,0;0,01;
11:16:44;00:00:11;22,3;19,8;22,1;23,9;21,8;233,6;0,00;0,0;0,01;
