Czas_Zapisu;Czas_Procesu;1_Temp_Keg;2_Temp_Bufor;3_Temp_10p;4_Temp_Glowica;5_Temp_Woda;Napiecie_V;Prad_A;Moc_W;Zuzycie_Wh;Temp_Zewn_C;Cisnienie_hPa;Zawor;Komentarz
2026-07-09 18:12:37;00:00:03;0,0;0,0;0,1;0,1;0,2;228,1;0,00;0,0;0,01;17,0;997,6;OFF;
2026-07-09 18:12:47;00:00:10;0,0;0,0;0,1;0,1;0,2;228,1;0,00;0,0;0,01;17,0;997,6;OFF;
2026-07-09 18:12:58;00:00:21;0,0;0,0;0,1;0,1;0,2;228,1;0,00;0,0;0,01;17,0;997,6;OFF;
2026-07-09 18:15:02;00:02:25;0,0;0,0;0,1;0,1;0,2;228,1;0,00;0,0;0,01;17,0;997,6;OFF;
2026-07-09 18:15:13;00:02:36;0,0;0,0;0,1;0,1;0,2;228,1;0,00;0,0;0,01;17,0;997,6;OFF;
2026-07-09 18:15:23;00:02:46;0,0;0,0;0,1;0,1;0,2;228,1;0,00;0,0;0,01;17,0;997,6;OFF;
2026-07-10 16:21:07;22:08:30;0,0;0,0;0,1;0,1;0,2;0,0;0,00;0,0;0,00;17,4;998,7;OFF;
2026-07-10 16:21:18;22:08:41;0,0;0,0;0,1;0,1;0,2;0,0;0,00;0,0;0,00;17,4;998,7;OFF;
2026-07-10 16:21:28;22:08:51;0,0;0,0;0,1;0,1;0,2;0,0;0,00;0,0;0,00;17,4;998,7;OFF;
2026-07-10 16:21:50;22:09:13;0,0;0,0;0,1;0,1;0,2;0,0;0,00;0,0;0,00;17,4;998,7;OFF;
2026-07-10 16:23:57;22:11:20;0,0;0,0;0,1;0,1;0,2;0,0;0,00;0,0;0,00;17,4;998,7;OFF;Uwagi do proesu test
2026-07-10 16:24:08;22:11:31;0,0;0,0;0,1;0,1;0,2;0,0;0,00;0,0;0,00;17,4;998,7;OFF;Uwagi do proesu test
2026-07-10 16:24:19;22:11:42;0,0;0,0;0,1;0,1;0,2;0,0;0,00;0,0;0,00;17,4;998,7;OFF;Uwagi do proesu test
